NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
BARREIRINHA,AM,289,429.88373702422143,460.0719723183391,457.04567474048446,451.818339100346,474.39446366782005,0.963076923076923,0
BARREIRINHAS,MA,728,449.84684065934067,462.8755494505495,480.40934065934067,457.39862637362637,516.5384615384615,1.043222683264177,0
BARREIROS,PE,952,466.6747899159664,475.38235294117646,501.2433823529412,479.886974789916,578.1512605042017,1.320010875475802,2
BARRETOS,SP,1337,503.25235602094244,521.3731488406881,537.687808526552,541.1073298429319,598.9528795811518,2.697613268608414,1
BARRINHA,SP,277,480.8241877256317,502.8476534296029,524.3386281588447,505.20758122743683,567.2202166064982,2.0405405405405403,2
BARRO,CE,457,471.9129102844639,489.5336980306346,503.66498905908094,507.2592997811816,591.1597374179431,1.1676923076923076,2
BARROQUINHA,CE,288,456.5736111111112,483.3996527777778,494.8329861111111,476.83993055555555,528.2638888888889,0.9780793319415448,0
BARUERI,SP,3931,503.37771559399647,536.8799796489443,551.1391249046044,547.5646909183414,590.7148308318494,2.737898951831351,1
BARÃO DE COCAIS,MG,444,509.7905405405405,531.5461711711712,539.7873873873874,544.5177927927928,597.2972972972973,2.229918509895227,1
BARÃO DE GRAJAÚ,MA,436,443.9600917431193,462.3470183486238,475.48784403669725,452.7917431192661,520.5045871559633,1.1077481840193704,0
BATAGUASSU,MS,323,468.2204334365325,481.10681114551085,502.03250773993807,492.08978328173373,516.2229102167182,1.8224368499257058,0
BATALHA,PI,974,449.923819301848,469.2687885010267,485.92648870636555,466.25338809034906,544.271047227926,1.0611210494931425,0
BATATAIS,SP,873,511.3662084765178,537.283390607102,548.7337915234822,550.5827033218786,605.4524627720504,2.7494873547505128,1
BATURITÉ,CE,1143,452.86229221347327,468.99396325459315,488.3825021872266,468.22598425196855,540.1399825021872,1.0036873156342183,0
BAURU,SP,3619,528.1881458966565,554.9358938933407,560.3878695772313,576.5251450676983,618.6791931472783,3.4111344537815125,1
BAYEUX,PB,1715,468.26303206997085,485.24040816326533,507.17982507288633,483.8387172011662,546.4956268221574,1.4541808083924714,2
BEBEDOURO,SP,875,529.2965714285714,550.632,558.5705142857144,573.5534857142857,622.0342857142857,3.2137632978723403,1
