MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,RENDA_FAMILIAR_SM_MEDIA
BARAÚNA,RN,679,461.0555228276878,546.6743740795288,486.4256259204713,443.0571428571428,520.6774668630338,491.5780265095729,1.3061212102775257
BARBACENA,MG,7399,499.0184484389782,575.5520340586565,521.9532774699284,503.9831328557913,563.8532234085687,532.8720232463845,2.157475213324755
BARBALHA,CE,2487,469.61801367108967,547.2836349014877,486.27700040209083,455.3327704061118,533.8520305589063,498.4726899879373,1.3752189141856392
BARCARENA,PA,3920,463.58897959183673,544.9340306122449,490.2230867346939,437.76301020408164,522.7872448979592,491.8592704081633,1.425254002478829
BARCELOS,AM,157,452.21783439490446,538.3528662420382,485.21210191082804,443.06050955414014,521.1464968152866,487.9979617834395,1.658256880733945
BARRA,BA,1103,445.93164097914774,532.1816863100635,467.43499546690845,418.9286491387126,495.7751586582049,472.0504261106074,1.0357646229739252
BARRA BONITA,SP,1181,496.9878069432684,570.7078746824725,528.2719729043183,497.4345469940728,555.9322607959357,529.8668924640135,2.70378664495114
BARRA DA ESTIVA,BA,1439,460.03467685892986,543.8412091730369,481.7330785267547,442.2159138290479,523.2383599722029,490.21264767199443,1.2079829666937558
BARRA DE SÃO FRANCISCO,ES,1376,466.30704941860466,544.5260174418605,484.31904069767444,459.70421511627904,508.125,492.59626453488374,1.7870198904129064
BARRA DO BUGRES,MT,895,453.8299441340782,531.4548603351955,472.3289385474861,432.28748603351954,501.8100558659218,478.34225698324025,2.0705645161290325
BARRA DO CHOÇA,BA,855,462.9918128654971,547.0940350877194,488.04830409356725,434.76035087719293,516.7520467836257,489.9293099415205,1.1979553903345725
BARRA DO CORDA,MA,1816,450.2295154185022,530.2063876651982,475.38727973568285,428.4857378854625,496.3535242290749,476.1324889867841,1.1478481012658228
BARRA DO GARÇAS,MT,4283,472.2815783329442,548.875344384777,492.219752509923,445.6461825823022,518.7205229978987,495.548676161569,1.8282850199618121
BARRA DO PIRAÍ,RJ,1652,493.2369249394673,578.8756053268766,527.2618644067796,488.5685230024213,576.4406779661017,532.8767191283293,2.2621761658031088
BARRA MANSA,RJ,4743,486.66131140628295,572.4189331646637,517.5719375922413,484.1436643474594,561.6826902804132,524.495707358212,2.224731276005548
BARRAS,PI,2305,446.01731019522776,528.7515835140997,470.89930585683294,430.20052060737527,495.52624728850327,474.2789934924078,0.860946507074699
BARREIRAS,BA,8226,468.3776075857039,550.4640773158278,492.48048869438367,446.50448577680527,541.3274981765135,499.83083150984686,1.6915274701480458
BARREIRINHA,AM,425,428.93623529411764,511.9995294117647,443.3176470588235,405.3983529411764,492.94117647058823,456.5185882352941,0.8555456171735242
BARREIRINHAS,MA,984,445.8992886178862,529.0158536585366,469.24329268292684,421.8410569105691,496.3790650406504,472.4757113821138,0.9533747779751333
BARREIROS,PE,1991,454.8801104972376,532.2930688096434,477.98995479658464,438.21506780512306,510.6177800100452,482.7991963837268,1.1647828014184398
BARRETOS,SP,3104,489.37748067010307,563.9961340206186,513.0650451030928,481.65747422680414,542.2873711340206,518.0767010309279,2.6825269129058418
BARRINHA,SP,769,473.3941482444733,547.6292587776334,494.88972691807544,467.31404421326397,515.8647594278284,499.8183875162549,2.2155521783181356
BARRO,CE,990,455.89434343434345,543.7434343434344,479.59434343434344,449.6678787878788,520.5656565656566,489.8931313131314,1.0
BARROQUINHA,CE,612,442.05767973856206,524.3730392156863,470.90637254901964,433.54003267973854,514.9346405228758,477.16235294117644,0.6655597722960152
BARUERI,SP,7521,485.67023002260333,568.2542348092009,522.4205690732615,482.01513096662677,552.3632495678767,522.1446828879139,2.432125978801184
BARÃO DE COCAIS,MG,1115,488.1312107623319,569.7156053811659,512.447533632287,488.47327354260085,536.0179372197309,518.9571121076233,2.2791731066460588
BARÃO DE GRAJAÚ,MA,695,453.04388489208634,528.9237410071943,471.2989928057554,431.431654676259,496.30503597122305,476.2006618705036,0.95
BATAGUASSU,MS,631,464.2126782884311,537.9307448494453,480.76180665610144,440.4524564183835,483.6133122028526,481.3941996830428,1.7337662337662338
BATALHA,AL,1506,446.07636122177956,524.5842629482072,463.62722443559096,428.9113545816733,498.4169986719788,472.323240371846,0.9402745327102804
