COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
1504422,PA,2904,459.3120179063361,493.0659435261708,505.3445247933884,480.0370523415978,574.5247933884298,502.4568663911846,MARITUBA,1.1066428948758584,1
1504604,PA,1465,430.0107167235495,460.2415699658703,471.97965870307166,454.82006825938566,528.6552901023891,469.1414607508533,MOCAJUBA,0.8010148107515085,0
1504703,PA,1304,438.6621932515337,463.55444785276075,481.04616564417177,460.6871932515337,553.9570552147239,479.58141104294475,MOJU,0.9616050808314087,0
1504802,PA,1413,434.74550601556973,466.181245576787,475.32052370842183,459.1247699929229,558.3156404812456,478.7375371549894,MONTE ALEGRE,0.8445229681978799,0
1505031,PA,316,449.8598101265823,476.6357594936709,494.94715189873415,491.6493670886076,539.620253164557,490.54246835443047,NOVO PROGRESSO,1.675977653631285,0
1505064,PA,568,443.40264084507044,467.8149647887324,486.84172535211263,476.95140845070426,520.7042253521126,479.1429929577465,NOVO REPARTIMENTO,1.2461858529819694,0
1505106,PA,931,439.3813104189044,472.0642320085929,482.4254564983888,465.0711063372718,536.6058002148228,479.1095810955961,ÓBIDOS,1.0610869565217391,0
1505205,PA,501,429.4121756487026,461.55868263473053,471.6858283433134,454.77764471057884,518.9221556886228,467.27129740518956,OEIRAS DO PARÁ,0.9136429608127722,0
1505304,PA,1329,444.72219714070735,479.63920240782545,489.8103085026336,467.3361173814898,559.5184349134688,488.205252069225,ORIXIMINÁ,1.000897129186603,0
1505486,PA,441,437.07120181405895,458.1467120181406,481.9591836734694,458.0113378684807,530.5668934240363,473.15106575963716,PACAJÁ,1.1137218045112782,0
1505502,PA,2542,458.124704956727,487.5605035405193,504.078127458694,488.47887490165226,577.5216365066876,503.152769472856,PARAGOMINAS,1.3332795351839897,1
1505536,PA,5537,456.91670579736314,487.4047679248691,505.65551742821026,490.13072060682674,563.3808921798808,500.69772078743,PARAUAPEBAS,1.6100266816458362,1
1505700,PA,423,440.36122931442077,472.11536643026,485.2182033096926,470.50212765957446,551.016548463357,483.8426950354609,PONTA DE PEDRAS,0.9343687374749499,0
1505809,PA,1009,431.9548067393459,463.5894945490585,474.65748265609517,460.8828543111992,531.8731417244796,472.59155599603565,PORTEL,0.9140202702702702,0
