MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
BARAÚNA,RN,785,459.404076433121,513.551974522293,501.616050955414,469.008025477707,513.1210191082803,491.3402292993631,1.222279792746114
BARBACENA,MG,7420,496.72474393530996,552.5226954177897,538.8079514824798,524.5421293800539,568.2074123989219,536.160986522911,1.8515395894428153
BARBALHA,CE,2757,476.6837504533914,521.8456655785274,508.9787450126949,477.0627493652521,529.3246282190787,502.7791077257889,1.1527112043139605
BARCARENA,PA,4310,465.24832946635735,522.1070997679815,504.09670533642685,462.03081206496523,514.1171693735499,493.52002320185613,1.3232305837781988
BARCELOS,AM,206,457.43446601941747,509.12669902912626,495.3757281553398,451.6660194174757,512.2330097087379,485.1671844660194,1.3025862068965517
BARRA,BA,1323,447.98639455782313,498.5359788359788,483.0445200302343,442.61337868480723,492.3053665910809,472.8971277399849,0.9174080664294187
BARRA BONITA,SP,1197,494.3257309941521,551.6379281537176,541.0399331662489,517.952798663325,568.4043441938179,534.6721470342522,2.3840909090909093
BARRA DA ESTIVA,BA,1596,454.9781954887218,511.20864661654133,499.1221804511278,464.4920426065163,517.7944862155389,489.5191102756893,1.0847388465723613
BARRA DE SÃO FRANCISCO,ES,1518,467.7795125164691,521.0819499341238,511.7996706192358,482.95342555994733,518.471673254282,500.41724637681165,1.5763849229011992
BARRA DO BUGRES,MT,823,452.8518833535844,504.35297691373023,494.82126366950183,460.05127582017013,497.6670716889429,481.9488942891859,1.7008845437616387
BARRA DO CHOÇA,BA,903,461.30420819490587,519.2728682170543,506.18527131782946,463.0843853820598,511.3178294573643,492.2329125138428,1.1017699115044248
BARRA DO CORDA,MA,2224,453.91299460431657,503.3545863309353,493.6460881294964,454.9003597122302,492.35206834532374,479.63321942446044,0.9635755603759942
BARRA DO GARÇAS,MT,4051,468.29471735373977,526.4158973093063,511.1073808936065,478.74976549000246,521.9355714638361,501.3006665020983,1.5906425293217745
BARRA DO PIRAÍ,RJ,1612,496.79789081885855,560.0471464019851,542.726240694789,502.9267990074442,587.0347394540943,537.9065632754342,1.9411836337067705
BARRA DO TURVO,SP,185,446.9951351351352,509.6172972972973,503.7643243243243,458.27675675675675,479.4594594594595,479.62259459459466,1.2958333333333334
BARRA MANSA,RJ,4405,486.7590238365494,551.6449489216799,534.6994551645857,504.23371169125994,576.3677639046538,530.7409807037457,1.8918655832063653
BARRAS,PI,2921,454.6098254022595,496.7418692228689,484.9389934953783,447.0239643957549,481.66381376241014,472.9956932557343,0.769726501100283
BARREIRA,CE,784,456.15573979591835,509.0255102040816,500.1786989795918,461.5179846938775,515.4438775510204,488.46436224489787,0.8139653414882773
BARREIRAS,BA,8785,468.9680022766078,525.0038360842345,508.007421741605,474.16157085941944,546.2180990324416,504.4717859988617,1.4455243527863098
BARREIRINHA,AM,528,444.81041666666664,487.89772727272725,474.8403409090909,431.40000000000003,487.72727272727275,465.3351515151515,0.7751060820367751
BARREIRINHAS,MA,1509,456.43697813121275,500.0099403578529,488.4981444665341,446.5217362491717,485.9377070907886,475.48090125911204,0.8485054347826086
BARREIROS,PE,2122,462.4712064090481,506.8636192271442,499.3146088595665,457.5163996229972,516.4439208294062,488.5219509896325,1.0899598393574297
BARRETOS,SP,3134,484.96231652839816,543.2512763241864,530.3071793235482,505.08462029355456,546.5571155073388,522.0325015954052,2.262529213191379
BARRINHA,SP,817,463.20367197062427,522.7883720930232,517.6499388004896,480.8454100367197,512.0685434516524,499.3111872705018,1.9690517998244075
